surface,match,tiebreak,ace%,1stin,1st%,2nd%,hld%,spw,brk%,rpw,tpw,dr,player
Overall last 52,42-22 (66%),28-17 (62%),13.3%,65.4%,76.6%,55.6%,88.7%,69.3%,15.2%,32.7%,51.1%,1.07,Ben Shelton
Hard,28-13 (68%),15-10 (60%),14.2%,66.9%,77.1%,55.5%,89.5%,70.0%,16.0%,33.2%,51.5%,1.10,Ben Shelton
Clay,8-5 (62%),8-1 (89%),9.3%,63.2%,73.6%,56.3%,82.5%,67.2%,14.0%,32.6%,50.0%,1.00,Ben Shelton
Grass,6-4 (60%),5-6 (45%),14.8%,62.8%,78.2%,55.2%,93.6%,69.7%,13.7%,31.2%,51.0%,1.03,Ben Shelton
Overall last 52,33-14 (70%),13-8 (62%),7.3%,61.6%,74.1%,54.6%,84.1%,66.6%,23.9%,37.8%,52.0%,1.13,Tommy Paul
Hard,17-9 (65%),7-6 (54%),9.3%,60.2%,77.6%,57.6%,88.0%,69.6%,21.4%,37.1%,52.6%,1.22,Tommy Paul
Clay,15-3 (83%),6-2 (75%),4.6%,64.3%,69.4%,50.3%,78.5%,62.6%,27.9%,38.9%,51.2%,1.04,Tommy Paul
Grass,1-2 (33%),0-0 (-),7.1%,56.4%,76.1%,53.7%,83.3%,66.3%,22.4%,37.0%,51.2%,1.10,Tommy Paul
Overall last 52,56-19 (75%),21-14 (60%),14.2%,63.1%,78.7%,50.3%,88.1%,68.3%,20.0%,35.7%,52.0%,1.12,Alexander Bublik
Hard,26-13 (67%),13-12 (52%),15.2%,63.6%,79.6%,49.6%,89.5%,68.7%,15.9%,33.9%,51.3%,1.08,Alexander Bublik
Clay,25-5 (83%),5-1 (83%),11.9%,62.4%,77.3%,50.5%,85.8%,67.2%,26.2%,38.4%,52.8%,1.17,Alexander Bublik
Grass,5-1 (83%),3-1 (75%),18.4%,63.8%,79.5%,53.4%,89.5%,70.0%,16.5%,34.1%,51.9%,1.14,Alexander Bublik
Overall last 52,40-23 (63%),17-14 (55%),10.7%,63.4%,75.0%,53.0%,84.8%,66.9%,19.6%,35.6%,51.1%,1.08,Jiri Lehecka
Hard,27-15 (64%),13-11 (54%),10.5%,63.4%,76.3%,52.7%,86.1%,67.7%,18.3%,35.1%,51.2%,1.09,Jiri Lehecka
Clay,6-5 (55%),2-2 (50%),7.9%,64.7%,66.8%,50.9%,75.2%,61.2%,26.8%,39.5%,50.3%,1.02,Jiri Lehecka
Grass,7-3 (70%),2-1 (67%),15.2%,61.6%,80.7%,56.7%,90.4%,71.5%,16.7%,32.8%,51.5%,1.15,Jiri Lehecka
Overall last 52,21-8 (72%),6-3 (67%),10.6%,63.9%,77.9%,54.8%,87.9%,69.5%,23.0%,37.8%,52.8%,1.24,Jack Draper
Hard,6-3 (67%),3-3 (50%),11.4%,62.6%,79.9%,53.9%,88.0%,70.2%,17.4%,33.4%,51.5%,1.12,Jack Draper
Clay,11-3 (79%),2-0 (100%),7.6%,64.5%,75.1%,57.1%,86.2%,68.7%,28.4%,41.4%,54.0%,1.32,Jack Draper
Grass,4-2 (67%),1-0 (100%),15.8%,64.3%,81.1%,51.5%,91.4%,70.5%,19.3%,35.5%,52.0%,1.20,Jack Draper
Overall last 52,43-26 (62%),22-10 (69%),6.7%,60.4%,71.3%,52.8%,80.0%,64.0%,23.0%,37.2%,50.7%,1.03,Learner Tien
Overall last 52,34-21 (62%),17-15 (53%),15.1%,59.2%,77.7%,48.9%,84.1%,66.0%,21.0%,36.8%,51.4%,1.08,Jakub Mensik
Overall last 52,34-19 (64%),11-9 (55%),12.3%,60.4%,76.1%,53.6%,84.9%,67.2%,22.1%,38.0%,52.2%,1.16,Sebastian Korda
Hard,29-15 (66%),10-7 (59%),13.5%,60.5%,77.2%,52.8%,85.3%,67.6%,22.1%,38.1%,52.2%,1.18,Sebastian Korda
Clay,5-4 (56%),1-2 (33%),6.9%,60.2%,70.9%,57.0%,83.0%,65.4%,22.0%,37.3%,51.7%,1.08,Sebastian Korda
Grass,0-0 (-),0-0 (-),-,-,-,-,-,-,-,-,-,-,Sebastian Korda
Overall last 52,35-19 (65%),10-7 (59%),8.5%,65.7%,72.8%,54.0%,85.2%,66.4%,21.3%,36.2%,51.5%,1.08,Casper Ruud
Hard,20-14 (59%),9-7 (56%),10.1%,66.5%,74.5%,54.8%,87.9%,67.9%,18.4%,34.5%,51.4%,1.07,Casper Ruud
Clay,15-5 (75%),1-0 (100%),5.6%,64.1%,69.5%,52.6%,80.1%,63.5%,27.1%,39.4%,51.5%,1.08,Casper Ruud
Grass,0-0 (-),0-0 (-),-,-,-,-,-,-,-,-,-,-,Casper Ruud
Overall last 52,25-17 (60%),11-13 (46%),7.9%,67.4%,72.9%,53.4%,84.6%,66.5%,19.8%,35.9%,51.0%,1.07,Joao Fonseca
